"subject" "activity" "mean" "std"
1 "standing" -0.616973401597861 0.588597672314509
1 "standing" -0.647452647823529 0.535919132370063
1 "standing" -0.652025983711765 0.52997438810499
1 "standing" -0.657534953336756 0.532444199278966
1 "standing" -0.654057956196078 0.533657624298974
1 "standing" -0.659554030525312 0.532248592816158
1 "standing" -0.645116775069519 0.53565673190081
1 "standing" -0.645325383887504 0.535450489791814
1 "standing" -0.641482099815508 0.539961296555247
1 "standing" -0.647290997762888 0.523756357116073
1 "standing" -0.644086386082888 0.53162090539876
1 "standing" -0.658825698502317 0.538804485611698
1 "standing" -0.654020403976524 0.542897492203905
1 "standing" -0.653875139931551 0.547634638062761
1 "standing" -0.60943354542139 0.558989320693267
1 "standing" -0.640511321434046 0.555611612698438
1 "standing" -0.653508930552941 0.53760786801534
1 "standing" -0.653391669550089 0.533196866545128
1 "standing" -0.655448835994474 0.54330706344489
1 "standing" -0.645527588281462 0.555186826371533
1 "standing" -0.65609994263066 0.55154645632626
1 "standing" -0.654135769801783 0.562833400033617
1 "standing" -0.651505895317469 0.552812555858973
1 "standing" -0.659999789363633 0.544871657712141
1 "standing" -0.65056776896369 0.548991375059471
1 "standing" -0.644122114043494 0.553975798884094
1 "standing" -0.640787210232781 0.567724950633311
1 "sitting" -0.570213357480927 0.545480587120041
1 "sitting" -0.625172535675936 0.565282399359474
1 "sitting" -0.637487907064171 0.552927813737582
1 "sitting" -0.559968098207487 0.515393889016589
1 "sitting" -0.528745131451961 0.5275031161899
1 "sitting" -0.556676454634403 0.545021079062719
1 "sitting" -0.633179913416043 0.542316859701085
1 "sitting" -0.631428602746702 0.565257219612126
1 "sitting" -0.645136656863993 0.557757529544457
1 "sitting" -0.646204836351961 0.550816672387583
1 "sitting" -0.651208955461854 0.545716166173237
1 "sitting" -0.612689181286453 0.550884241418409
1 "sitting" -0.629372220849376 0.538692936898469
1 "sitting" -0.638599739738164 0.543834994524077
1 "sitting" -0.647367776978431 0.539348645725956
1 "sitting" -0.647291931333868 0.537302887539045
1 "sitting" -0.641141104321693 0.548735777917751
1 "sitting" -0.640233389382709 0.548163880611422
1 "sitting" -0.651022219299822 0.53813919887497
1 "sitting" -0.645440083469037 0.545783063452797
1 "sitting" -0.653014850709804 0.53620824261569
1 "sitting" -0.650811171713904 0.540945292570207
1 "sitting" -0.649183828508021 0.53706050295003
1 "sitting" -0.645873390263993 0.54763664848657
1 "laying" -0.603132382210214 0.537159920077927
1 "laying" -0.634715269611943 0.549550628318783
1 "laying" -0.633303775152923 0.55826811730882
1 "laying" -0.643603751138253 0.552753344676024
1 "laying" -0.657309994401426 0.539928071694045
1 "laying" -0.649761720088289 0.545210660147411
1 "laying" -0.64246215870713 0.550371446691306
1 "laying" -0.654821388556328 0.540702148011027
1 "laying" -0.650407582471176 0.547693677034985
1 "laying" -0.640711357536364 0.561358413748803
1 "laying" -0.649275767327451 0.54823695132761
1 "laying" -0.647666652908556 0.556785972416828
1 "laying" -0.645282174283244 0.553407790334245
1 "laying" -0.55111433523672 0.539108906165006
1 "laying" -0.607154223268984 0.564290524787672
1 "laying" -0.511076301806774 0.511860660935226
1 "laying" -0.489405698459358 0.522162339376204
1 "laying" -0.583101213003922 0.531707837505849
1 "laying" -0.532658563961622 0.506771741853206
1 "laying" -0.379584599360071 0.502255574175702
1 "laying" -0.380870733689127 0.499262160637474
1 "laying" -0.536864262049002 0.539560273583551
1 "laying" -0.613548256128627 0.542792216097341
